name,title,playAbility,traitAbility,number
normal,ただのカード,,,6
skip,スキップ,次の人をスキップ,,3
draw,ドロー,次の人は1枚ドローする,,3
reverse,リバース,ターンの順番を逆にします,,3
drawTwoAll,噴火,他のプレイヤー全員が2枚カードを引きます,,3
forceTrade,トレード,次のプレイヤーと手札を交換します,,1
swap,スワップ,全員の手札を次のプレイヤーに渡します,,2
extraTurn,もう一度,自分のターンをもう1度行います,,3
chain,チェイン,このカードと同じ数のカードをすべて捨てます,,3
discard,ごみ捨て,1枚選んで捨てる,,3
opponentDraw,サイクロン,自分以外が1枚カードを引く,,3
giveCard,プレゼント,任意のプレイヤーにカードを1枚与えます,,3
copy,コピー,直前にプレイされたカードのプレイ時効果を使う,,3
lightning,光よ!!,カードが2枚以下のプレイヤーはカードを2枚引く,,3
reaper,死神,,このカードはプレイできない,1
curse,呪い,選択したカードを呪いに変える,,2
refresh,リフレッシュ,カードを全て捨てて同じ数引く,,3
Uno,ウノ!,プレイ時カードが1枚以下なら2枚引く,,3
rainbow,虹,,どの色どの数字でも出せる,3
perfect,パーフェクト,色と数が一致して出すとカードを2枚捨てる。違うならカードを1枚引く,,3
prism,プリズム,自分の手札一枚を虹に変化させる,,2
rebuild,再構成,2枚手札を捨てて2枚引く,,1
